language,cell,period,head_lemma,cooccurrence_count
Russian,1pl,post_2022,восторгаться,1
Russian,1pl,post_2022,временный,1
Russian,1pl,post_2022,все,1
Russian,1pl,post_2022,вставить,1
Russian,1pl,post_2022,встречать,1
Russian,1pl,post_2022,вторгаться,1
Russian,1pl,post_2022,выбирать,1
Russian,1pl,post_2022,вырастить,1
Russian,1pl,post_2022,глядеть,1
Russian,1pl,post_2022,делать,1
Russian,1pl,post_2022,есть,1
Russian,1pl,post_2022,ехать,1
Russian,1pl,post_2022,жалеть,1
Russian,1pl,post_2022,заниматься,1
Russian,1pl,post_2022,запускать,1
Russian,1pl,post_2022,звести,1
Russian,1pl,post_2022,искать,1
Russian,1pl,post_2022,каждый,1
Russian,1pl,post_2022,копить,1
Russian,1pl,post_2022,красать,1
Russian,1pl,post_2022,кто,1
Russian,1pl,post_2022,лукавить,1
Russian,1pl,post_2022,махнуть,1
Russian,1pl,post_2022,место,1
Russian,1pl,post_2022,мочь,1
Russian,1pl,post_2022,надеть,1
Russian,1pl,post_2022,надо,1
Russian,1pl,post_2022,написать,1
Russian,1pl,post_2022,наци,1
Russian,1pl,post_2022,нестандартный,1
Russian,1pl,post_2022,никто,1
Russian,1pl,post_2022,ничья,1
Russian,1pl,post_2022,обласкать,1
Russian,1pl,post_2022,озарить,1
Russian,1pl,post_2022,окраина,1
Russian,1pl,post_2022,оплатить,1
Russian,1pl,post_2022,оставаться,1
Russian,1pl,post_2022,остров,1
Russian,1pl,post_2022,отбояться,1
Russian,1pl,post_2022,отдать,1
Russian,1pl,post_2022,переезжать,1
Russian,1pl,post_2022,петь,1
Russian,1pl,post_2022,писать,1
Russian,1pl,post_2022,пить,1
Russian,1pl,post_2022,племя,1
Russian,1pl,post_2022,победить,1
Russian,1pl,post_2022,поддерживать,1
Russian,1pl,post_2022,подниматься,1
Russian,1pl,post_2022,пойти,1
Russian,1pl,post_2022,полететь,1
Russian,1pl,post_2022,понимать,1
Russian,1pl,post_2022,постоялец,1
Russian,1pl,post_2022,посылать,1
Russian,1pl,post_2022,придумать,1
Russian,1pl,post_2022,принимать,1
Russian,1pl,post_2022,принуждать,1
Russian,1pl,post_2022,приплывать,1
Russian,1pl,post_2022,прирасти,1
Russian,1pl,post_2022,проговорить,1
Russian,1pl,post_2022,проживать,1
Russian,1pl,post_2022,просить,1
Russian,1pl,post_2022,проснуться,1
Russian,1pl,post_2022,простить,1
Russian,1pl,post_2022,прощать,1
Russian,1pl,post_2022,рад,1
Russian,1pl,post_2022,разбить,1
Russian,1pl,post_2022,решать,1
Russian,1pl,post_2022,сильный,1
Russian,1pl,post_2022,сиять,1
Russian,1pl,post_2022,скрутить,1
Russian,1pl,post_2022,слушать,1
Russian,1pl,post_2022,смотреть,1
Russian,1pl,post_2022,собердуться,1
Russian,1pl,post_2022,собираться,1
Russian,1pl,post_2022,собрать,1
Russian,1pl,post_2022,спасать,1
Russian,1pl,post_2022,стать,1
Russian,1pl,post_2022,страшный,1
Russian,1pl,post_2022,судить,1
Russian,1pl,post_2022,танцевать,1
Russian,1pl,post_2022,терзать,1
Russian,1pl,post_2022,трапиться,1
Russian,1pl,post_2022,тут,1
Russian,1pl,post_2022,уготовать,1
Russian,1pl,post_2022,узнавать,1
Russian,1pl,post_2022,упасть,1
Russian,1pl,post_2022,учить,1
Russian,1pl,post_2022,хлебать,1
Russian,1pl,post_2022,цвести,1
Russian,1pl,post_2022,читать,1
Russian,1pl,post_2022,чувствовать,1
Russian,1pl,post_2022,шить,1
Russian,1pl,post_2022,японец,1
Russian,1sg,2014_2021,любить,39
Russian,1sg,2014_2021,хотеть,24
Russian,1sg,2014_2021,смотреть,21
Russian,1sg,2014_2021,знать,20
Russian,1sg,2014_2021,говорить,13
Russian,1sg,2014_2021,root,12
Russian,1sg,2014_2021,видеть,12
Russian,1sg,2014_2021,писать,11
Russian,1sg,2014_2021,мочь,10
Russian,1sg,2014_2021,сказать,10
Russian,1sg,2014_2021,жить,9
Russian,1sg,2014_2021,быть,8
Russian,1sg,2014_2021,ощущать,8
Russian,1sg,2014_2021,читать,8
Russian,1sg,2014_2021,кто,7
Russian,1sg,2014_2021,ты,7
Russian,1sg,2014_2021,хотеться,7
Russian,1sg,2014_2021,верить,6
Russian,1sg,2014_2021,выйти,6
Russian,1sg,2014_2021,дать,6
Russian,1sg,2014_2021,жалко,6
Russian,1sg,2014_2021,ответить,6
Russian,1sg,2014_2021,прийти,6
Russian,1sg,2014_2021,казаться,5
Russian,1sg,2014_2021,нет,5
Russian,1sg,2014_2021,помнить,5
Russian,1sg,2014_2021,простить,5
Russian,1sg,2014_2021,слышать,5
Russian,1sg,2014_2021,спать,5
Russian,1sg,2014_2021,умереть,5
Russian,1sg,2014_2021,уметь,5
Russian,1sg,2014_2021,бояться,4
Russian,1sg,2014_2021,глядеть,4
Russian,1sg,2014_2021,готовый,4
Russian,1sg,2014_2021,добраться,4
Russian,1sg,2014_2021,лежать,4
Russian,1sg,2014_2021,один,4
Russian,1sg,2014_2021,поэзия,4
Russian,1sg,2014_2021,прожить,4
Russian,1sg,2014_2021,ставить,4
Russian,1sg,2014_2021,что,4
Russian,1sg,2014_2021,чувствовать,4
Russian,1sg,2014_2021,внушать,3
Russian,1sg,2014_2021,возвращаться,3
Russian,1sg,2014_2021,выбирать,3
Russian,1sg,2014_2021,где,3
Russian,1sg,2014_2021,давать,3
Russian,1sg,2014_2021,ждать,3
Russian,1sg,2014_2021,задыхаться,3
Russian,1sg,2014_2021,здесь,3
Russian,1sg,2014_2021,значить,3
Russian,1sg,2014_2021,идти,3
Russian,1sg,2014_2021,кричать,3
Russian,1sg,2014_2021,ловля,3
Russian,1sg,2014_2021,наблюдать,3
Russian,1sg,2014_2021,ненавидеть,3
Russian,1sg,2014_2021,необъяснимый,3
Russian,1sg,2014_2021,нравиться,3
Russian,1sg,2014_2021,обнимать,3
Russian,1sg,2014_2021,объятие,3
Russian,1sg,2014_2021,оставить,3
Russian,1sg,2014_2021,позволить,3
Russian,1sg,2014_2021,понимать,3
Russian,1sg,2014_2021,привыкнуть,3
Russian,1sg,2014_2021,приходить,3
Russian,1sg,2014_2021,просить,3
Russian,1sg,2014_2021,раскрывать,3
Russian,1sg,2014_2021,рисовать,3
Russian,1sg,2014_2021,родина,3
Russian,1sg,2014_2021,рождаться,3
Russian,1sg,2014_2021,спешить,3
Russian,1sg,2014_2021,спрашивать,3
Russian,1sg,2014_2021,узнать,3
Russian,1sg,2014_2021,учить,3
Russian,1sg,2014_2021,хватать,3
Russian,1sg,2014_2021,ходить,3
Russian,1sg,2014_2021,ангел,2
Russian,1sg,2014_2021,бежать,2
Russian,1sg,2014_2021,брат,2
Russian,1sg,2014_2021,брать,2
Russian,1sg,2014_2021,везти,2
Russian,1sg,2014_2021,вернуть,2
Russian,1sg,2014_2021,вести,2
Russian,1sg,2014_2021,владеть,2
Russian,1sg,2014_2021,врываться,2
Russian,1sg,2014_2021,вспоминать,2
Russian,1sg,2014_2021,выводить,2
Russian,1sg,2014_2021,доковылять,2
Russian,1sg,2014_2021,думать,2
Russian,1sg,2014_2021,жаль,2
Russian,1sg,2014_2021,забыть,2
Russian,1sg,2014_2021,задавать,2
Russian,1sg,2014_2021,иметь,2
Russian,1sg,2014_2021,искать,2
Russian,1sg,2014_2021,касаться,2
Russian,1sg,2014_2021,качать,2
Russian,1sg,2014_2021,кивать,2
Russian,1sg,2014_2021,молиться,2
Russian,1sg,2014_2021,молчать,2
Russian,1sg,2014_2021,надевать,2
Russian,1sg,2014_2021,наезжать,2
Russian,1sg,2014_2021,найти,2
Russian,1sg,2014_2021,накрывать,2
Russian,1sg,2014_2021,напоминать,2
Russian,1sg,2014_2021,нарекать,2
Russian,1sg,2014_2021,начинать,2
Russian,1sg,2014_2021,нравить,2
Russian,1sg,2014_2021,обещать,2
Russian,1sg,2014_2021,обойти,2
Russian,1sg,2014_2021,одинокий,2
Russian,1sg,2014_2021,орел,2
Russian,1sg,2014_2021,оставаться,2
Russian,1sg,2014_2021,отвечать,2
Russian,1sg,2014_2021,отдать,2
Russian,1sg,2014_2021,пить,2
Russian,1sg,2014_2021,плыть,2
Russian,1sg,2014_2021,поговорить,2
Russian,1sg,2014_2021,пойти,2
Russian,1sg,2014_2021,получить,2
Russian,1sg,2014_2021,полюбить,2
Russian,1sg,2014_2021,понравиться,2
Russian,1sg,2014_2021,понять,2
Russian,1sg,2014_2021,поскакать,2
Russian,1sg,2014_2021,принести,2
Russian,1sg,2014_2021,продолжать,2
Russian,1sg,2014_2021,происходить,2
Russian,1sg,2014_2021,проснуться,2
Russian,1sg,2014_2021,просыпаться,2
Russian,1sg,2014_2021,работать,2
Russian,1sg,2014_2021,родной,2
Russian,1sg,2014_2021,рушиться,2
Russian,1sg,2014_2021,светить,2
Russian,1sg,2014_2021,сестра,2
Russian,1sg,2014_2021,сидеть,2
Russian,1sg,2014_2021,сильный,2
Russian,1sg,2014_2021,сниться,2
Russian,1sg,2014_2021,собирать,2
Russian,1sg,2014_2021,составить,2
Russian,1sg,2014_2021,спасти,2
Russian,1sg,2014_2021,спратить,2
Russian,1sg,2014_2021,спятить,2
Russian,1sg,2014_2021,стараться,2
Russian,1sg,2014_2021,стать,2
Russian,1sg,2014_2021,стоять,2
Russian,1sg,2014_2021,стучать,2
Russian,1sg,2014_2021,сюцай,2
Russian,1sg,2014_2021,так,2
Russian,1sg,2014_2021,танцевать,2
Russian,1sg,2014_2021,терять,2
Russian,1sg,2014_2021,тесный,2
Russian,1sg,2014_2021,убить,2
Russian,1sg,2014_2021,угрожать,2
Russian,1sg,2014_2021,умирать,2
Russian,1sg,2014_2021,успеть,2
Russian,1sg,2014_2021,успокоить,2
Russian,1sg,2014_2021,устать,2
Russian,1sg,2014_2021,уходить,2
Russian,1sg,2014_2021,хороший,2
Russian,1sg,2014_2021,человек,2
Russian,1sg,2014_2021,четыре,2
Russian,1sg,2014_2021,/взять,1
Russian,1sg,2014_2021,алкоголь,1
Russian,1sg,2014_2021,бандеровец,1
Russian,1sg,2014_2021,бедный,1
Russian,1sg,2014_2021,безмерность,1
Russian,1sg,2014_2021,безпоковаться,1
Russian,1sg,2014_2021,бескрайний,1
Russian,1sg,2014_2021,бить,1
Russian,1sg,2014_2021,благотворящий,1
Russian,1sg,2014_2021,близкий,1
Russian,1sg,2014_2021,болтать,1
Russian,1sg,2014_2021,больно,1
Russian,1sg,2014_2021,больше,1
Russian,1sg,2014_2021,браться,1
Russian,1sg,2014_2021,бросать,1
Russian,1sg,2014_2021,ввалиться,1
Russian,1sg,2014_2021,вдыхать,1
Russian,1sg,2014_2021,велеть,1
Russian,1sg,2014_2021,вера,1
Russian,1sg,2014_2021,вериться,1
Russian,1sg,2014_2021,вернуться,1
Russian,1sg,2014_2021,веселый,1
Russian,1sg,2014_2021,вечность,1
Russian,1sg,2014_2021,вибрация,1
Russian,1sg,2014_2021,видно,1
Russian,1sg,2014_2021,виноватый,1
Russian,1sg,2014_2021,вкатывать,1
Russian,1sg,2014_2021,влезать,1
Russian,1sg,2014_2021,вместе,1
Russian,1sg,2014_2021,возлагать,1
Russian,1sg,2014_2021,волновать,1
Russian,1sg,2014_2021,вопрос,1
Russian,1sg,2014_2021,вот,1
Russian,1sg,2014_2021,впустить,1
Russian,1sg,2014_2021,вручить,1
Russian,1sg,2014_2021,всматриваться,1
Russian,1sg,2014_2021,вспомянуть,1
Russian,1sg,2014_2021,встретить,1
Russian,1sg,2014_2021,втекать,1
Russian,1sg,2014_2021,вызывать,1
Russian,1sg,2014_2021,выломать,1
Russian,1sg,2014_2021,выносить,1
Russian,1sg,2014_2021,вырасти,1
Russian,1sg,2014_2021,высший,1
Russian,1sg,2014_2021,вытекать,1
Russian,1sg,2014_2021,вытеснять,1
Russian,1sg,2014_2021,выучить,1
Russian,1sg,2014_2021,вязать,1
Russian,1sg,2014_2021,главное,1
Russian,1sg,2014_2021,глянуть,1
Russian,1sg,2014_2021,гневаться,1
Russian,1sg,2014_2021,год,1
Russian,1sg,2014_2021,гора,1
Russian,1sg,2014_2021,горбатый,1
Russian,1sg,2014_2021,горький,1
Russian,1sg,2014_2021,гроза,1
Russian,1sg,2014_2021,грубый,1
Russian,1sg,2014_2021,грустный,1
Russian,1sg,2014_2021,грутить,1
Russian,1sg,2014_2021,гулять,1
Russian,1sg,2014_2021,давить,1
Russian,1sg,2014_2021,дальний,1
Russian,1sg,2014_2021,дарить,1
Russian,1sg,2014_2021,даться,1
Russian,1sg,2014_2021,действовать,1
Russian,1sg,2014_2021,длиться,1
Russian,1sg,2014_2021,довольный,1
Russian,1sg,2014_2021,дожидаться,1
Russian,1sg,2014_2021,должен,1
Russian,1sg,2014_2021,долюбливать,1
Russian,1sg,2014_2021,допеть,1
Russian,1sg,2014_2021,доставать,1
Russian,1sg,2014_2021,драка,1
Russian,1sg,2014_2021,дрожать,1
Russian,1sg,2014_2021,дужать,1
Russian,1sg,2014_2021,думаться,1
Russian,1sg,2014_2021,дышать,1
Russian,1sg,2014_2021,елдак,1
Russian,1sg,2014_2021,ехать,1
Russian,1sg,2014_2021,жалеть,1
Russian,1sg,2014_2021,желать,1
Russian,1sg,2014_2021,женщина,1
Russian,1sg,2014_2021,жестокий,1
Russian,1sg,2014_2021,жечь,1
Russian,1sg,2014_2021,живой,1
Russian,1sg,2014_2021,жизнь,1
Russian,1sg,2014_2021,жматься,1
Russian,1sg,2014_2021,заблудиться,1
Russian,1sg,2014_2021,заваривать,1
Russian,1sg,2014_2021,заглядывать,1
Russian,1sg,2014_2021,заговарить,1
Russian,1sg,2014_2021,закраться,1
Russian,1sg,2014_2021,закручивать,1
Russian,1sg,2014_2021,закрывать,1
Russian,1sg,2014_2021,закрыть,1
Russian,1sg,2014_2021,заметать,1
Russian,1sg,2014_2021,заносить,1
Russian,1sg,2014_2021,заполнять,1
Russian,1sg,2014_2021,запомнить,1
Russian,1sg,2014_2021,запрятан,1
Russian,1sg,2014_2021,зарыдать,1
Russian,1sg,2014_2021,заснуть,1
Russian,1sg,2014_2021,застать,1
Russian,1sg,2014_2021,затрепещить,1
Russian,1sg,2014_2021,затягивать,1
Russian,1sg,2014_2021,захлестывать,1
Russian,1sg,2014_2021,заходить,1
Russian,1sg,2014_2021,зачем,1
Russian,1sg,2014_2021,звезда,1
Russian,1sg,2014_2021,зверь,1
Russian,1sg,2014_2021,змея,1
Russian,1sg,2014_2021,зовать,1
Russian,1sg,2014_2021,зябко,1
Russian,1sg,2014_2021,избегать,1
Russian,1sg,2014_2021,иной,1
Russian,1sg,2014_2021,искренний,1
Russian,1sg,2014_2021,исполниться,1
Russian,1sg,2014_2021,испытание,1
Russian,1sg,2014_2021,испытывать,1
Russian,1sg,2014_2021,капризный,1
Russian,1sg,2014_2021,клать,1
Russian,1sg,2014_2021,клюнуть,1
Russian,1sg,2014_2021,ковер,1
Russian,1sg,2014_2021,король,1
Russian,1sg,2014_2021,который,1
Russian,1sg,2014_2021,крепкий,1
Russian,1sg,2014_2021,крыша,1
Russian,1sg,2014_2021,купить,1
