poem_id,author_id,1sg,1pl,2sg,2pl_vy_polite_singular,2pl_vy_true_plural,2pl,n_total,exposure_n_stanzas,exposure_n_stanza_index_max,exposure_n_tokens,exposure_n_finite_verbs,exposure_n_finite_verbs_excl_imperative,min_stanzas,min_tokens,include_in_offset_models,include_in_fv_offset_models,include_in_fv_excl_imp_offset_models,language_clean,year_int,period3
UP265_1,A11,2,0,1,0,0,0,3,1,1.0,58,8,7,1,58,True,True,True,Ukrainian,2014.0,P1_2014_2021
UP2654_1,A21,1,0,0,0,0,0,1,1,1.0,69,1,1,1,69,True,True,True,Russian,2021.0,P1_2014_2021
UP2643_1,A30,2,0,2,0,0,0,4,4,7.0,96,10,10,4,20,True,True,True,Ukrainian,2023.0,P2_2022_plus
UP2655_1,A21,3,0,6,0,1,1,10,1,1.0,102,2,2,1,102,True,True,True,Russian,2021.0,P1_2014_2021
UP2656_1,A21,1,0,4,0,0,0,5,1,1.0,155,7,6,1,155,True,True,True,Russian,2021.0,P1_2014_2021
UP2663_1,A21,0,0,0,0,2,2,2,1,1.0,91,1,1,1,91,True,True,True,Russian,2021.0,P1_2014_2021
UP2659_1,A21,0,0,5,0,0,0,5,1,1.0,158,5,4,1,158,True,True,True,Russian,2021.0,P1_2014_2021
UP2661_1,A21,0,0,16,0,0,0,16,1,1.0,125,3,1,1,125,True,True,True,Russian,2021.0,P1_2014_2021
UP266_1,A20,1,0,10,0,0,0,11,1,1.0,150,20,19,1,150,True,True,True,Ukrainian,2014.0,P1_2014_2021
UP2662_1,A21,2,0,2,0,0,0,4,1,1.0,104,6,6,1,104,True,True,True,Russian,2021.0,P1_2014_2021
UP268_1,A05,0,0,0,0,2,2,2,1,1.0,31,4,1,1,31,True,True,True,Russian,2014.0,P1_2014_2021
UP267_1,A31,11,1,0,0,0,0,12,6,7.0,209,29,29,6,31,True,True,True,Ukrainian,2014.0,P1_2014_2021
UP270_2,A25,1,0,0,0,0,0,1,1,1.0,8,0,0,1,8,True,False,False,Ukrainian,2014.0,P1_2014_2021
UP2709_1,A25,0,2,0,0,1,1,3,1,1.0,42,5,4,1,42,True,True,True,Ukrainian,2014.0,P1_2014_2021
UP271_1,A30,0,0,5,0,0,0,5,1,1.0,26,3,3,1,26,True,True,True,Ukrainian,2014.0,P1_2014_2021
